dataset,display_name,group,in_domain,images,precision,recall,map50,map50_95,id_map50_95,abs_gap,relative_drop_pct,retention_pct,save_dir
8-calves,8-calves,ID,True,200,0.9649651039463124,0.9479485609308022,0.976320923435849,0.563747414031666,0.563747414031666,0.0,0.0,100.0,/data1/yxli/CODE/ultralytics/OOD/8-calvesOOD/results/yolo11m/runs/8-calves
CBPD_ODD,CBPD_ODD,D7,False,73,0.19945553949584854,0.21739130434782608,0.10020888481099233,0.030256202284007883,0.563747414031666,0.533491211747658,94.63302153926892,5.3669784607310635,/data1/yxli/CODE/ultralytics/OOD/8-calvesOOD/results/yolo11m/runs/CBPD_ODD
CID,CID,D3,False,411,0.003911914298914827,0.022658610271903322,0.00039290654071209505,6.9107975936621e-05,0.563747414031666,0.5636783060557293,99.98774132275972,0.012258677240289598,/data1/yxli/CODE/ultralytics/OOD/8-calvesOOD/results/yolo11m/runs/CID
CImage,CImage,D6,False,35,0.051778588330726356,0.05,0.004960547958286805,0.0011047849706778891,0.563747414031666,0.562642629060988,99.80402837455573,0.19597162544426908,/data1/yxli/CODE/ultralytics/OOD/8-calvesOOD/results/yolo11m/runs/CImage
COCO,COCO cow subset,D6,False,344,0.1584154358976565,0.12287655719139298,0.04740239300689064,0.018007999977861008,0.563747414031666,0.545739414053805,96.80566162617477,3.1943383738252487,/data1/yxli/CODE/ultralytics/OOD/8-calvesOOD/results/yolo11m/runs/COCO
COLO,COLO,D2,False,201,0.5728231702441876,0.28820960698689957,0.2976612985603252,0.13511471580975393,0.563747414031666,0.428632698221912,76.03275643546199,23.967243564538013,/data1/yxli/CODE/ultralytics/OOD/8-calvesOOD/results/yolo11m/runs/COLO
Cows2021,Cows2021,D3,False,1023,0.24132349588706892,0.5702746365105008,0.2044967157141952,0.06246816130256712,0.563747414031666,0.5012792527290988,88.91912233249583,11.080877667504167,/data1/yxli/CODE/ultralytics/OOD/8-calvesOOD/results/yolo11m/runs/Cows2021
Google_Open_Images,Google Open Images cow subset,D6,False,583,0.12932830793392888,0.11068376068376068,0.04151472573486945,0.01280923198354202,0.563747414031666,0.550938182048124,97.72784199719229,2.272158002807711,/data1/yxli/CODE/ultralytics/OOD/8-calvesOOD/results/yolo11m/runs/Google_Open_Images
HCRD,HCRD,D2,False,212,0.019851604374839495,0.027607361963190184,0.0035510370055220715,0.0006443727931264482,0.563747414031666,0.5631030412385395,99.88569831504535,0.11430168495464772,/data1/yxli/CODE/ultralytics/OOD/8-calvesOOD/results/yolo11m/runs/HCRD
MooTrack360,MooTrack360,D4,False,300,0.41256465411817145,0.2642479213907785,0.21966084986388013,0.07347301336890158,0.563747414031666,0.4902744006627644,86.96703318894966,13.032966811050342,/data1/yxli/CODE/ultralytics/OOD/8-calvesOOD/results/yolo11m/runs/MooTrack360
NWAFU_CD,NWAFU Cattle Dataset,D3,False,375,0.14160267282717692,0.08310094813162298,0.028392947297225867,0.009462940976529659,0.563747414031666,0.5542844730551363,98.32142183875311,1.678578161246895,/data1/yxli/CODE/ultralytics/OOD/8-calvesOOD/results/yolo11m/runs/NWAFU_CD
XGain,XGain,D5,False,331,0.7629879180668339,0.3484190948543087,0.36228283119499555,0.14499613807554249,0.563747414031666,0.4187512759561235,74.27994621942551,25.720053780574503,/data1/yxli/CODE/ultralytics/OOD/8-calvesOOD/results/yolo11m/runs/XGain
animals_10,animals_10,D6,False,323,0.12576256722198273,0.1273972602739726,0.052423403457780085,0.020626548674320594,0.563747414031666,0.5431208653573454,96.34117192187031,3.6588280781296834,/data1/yxli/CODE/ultralytics/OOD/8-calvesOOD/results/yolo11m/runs/animals_10
diarycow,Dairy Cow,D3,False,560,0.4610033329662001,0.3334843420242883,0.30825786723658233,0.15059743933736278,0.563747414031666,0.41314997469430315,73.28636272397985,26.71363727602015,/data1/yxli/CODE/ultralytics/OOD/8-calvesOOD/results/yolo11m/runs/diarycow
